Antiviral,Linfocitos T/uL
49.1,3337.7835171374268
49.2,3334.835437789587
49.3,3331.8890925588175
49.4,3328.944486828691
49.5,3326.001625973551
49.6,3323.060515358422
49.7,3320.1211603390034
49.8,3317.183566261595
49.9,3314.247738463067
50.0,3311.313682270813
50.1,3308.381403002692
50.2,3305.450905967003
50.3,3302.522196462435
50.4,3299.5952797780074
50.5,3296.670161193044
50.6,3293.7468459771253
50.7,3290.825339390031
50.8,3287.905646681718
50.9,3284.987773092249
51.0,3282.0717238517814
51.1,3279.15750418049
51.2,3276.245119288557
51.300000000000004,3273.334574376096
51.4,3270.4258746331307
51.5,3267.5190252395437
51.6,3264.6140313650453
51.7,3261.710898169112
51.800000000000004,3258.8096308009567
51.9,3255.910234399481
52.0,3253.0127140932327
52.1,3250.1170750003707
52.2,3247.223322228613
52.300000000000004,3244.3314608752075
52.400000000000006,3241.4414960268737
52.5,3238.5534327597757
52.6,3235.667276139478
52.7,3232.783031220892
52.800000000000004,3229.900703048258
52.900000000000006,3227.0202966550833
53.0,3224.1418170641073
53.1,3221.2652692872716
53.2,3218.390658325666
53.300000000000004,3215.5179891694866
53.400000000000006,3212.6472667980206
53.5,3209.7784961795624
53.6,3206.9116822714295
53.7,3204.046830019876
53.800000000000004,3201.183944360067
53.900000000000006,3198.323030216054
54.0,3195.464092500718
54.1,3192.607136115735
54.2,3189.752165951551
54.300000000000004,3186.8991868873172
54.400000000000006,3184.048203790887
54.50000000000001,3181.1992215187324
54.6,3178.3522449159473
54.7,3175.50727881619
54.800000000000004,3172.664328041647
54.900000000000006,3169.8233974029936
55.00000000000001,3166.984491699371
55.1,3164.1476157183247
55.2,3161.312774235792
55.300000000000004,3158.479972016051
55.400000000000006,3155.6492138116787
55.50000000000001,3152.8205043635367
55.60000000000001,3149.993848400711
55.7,3147.169250640503
55.800000000000004,3144.3467157883474
55.900000000000006,3141.526248537829
56.00000000000001,3138.70785357062
56.10000000000001,3135.8915355564336
56.2,3133.0772991530316
